Original	Obfused	Corrected
to-night	to-night	to-night
,	,	,
'	'	'
I	I	I
have	have	have
secured	secured	secured
to	to	to
myself	myself	myself
the	the	the
love	love	love
and	and	and
attachment	attachment	attachment
,	,	,
the	the	a
gratitude	gratitude	gratitude
or	or	or
respect	respect	respect
,	,	,
of	of	of
no	no	no
human	human	human
creature	creature	creature
;	;	;
I	I	I
have	have	have
won	won	won
myself	myself	myself
a	a	the
tender	tender	tender
place	place	place
in	in	in
no	no	no
regard	regard	regard
;	;	;
I	I	I
have	have	have
done	done	done
nothing	nothing	nothing
good	good	good
or	or	or
serviceable	serviceable	_UNK
to	to	to
be	be	be
remembered	remembered	remembered
by	by	by
!	!	!
'	'	'
your	your	your
seventy-eight	seventy-eight	_UNK
years	years	years
would	would	would
be	be	be
seventy-eight	seventy-eight	_UNK
heavy	heavy	heavy
curses	curses	curses
;	;	;
would	would	would
they	they	they
not	not	not
?	?	?
""""	""""	""""
""""	""""	""""
You	You	You
say	say	say
truly	truly	leathers
,	,	,
Mr	Mr	Mr
.	.	.
Carton	Carton	_UNK
;	;	;
I	I	I
think	think	think
they	they	they
would	would	would
be	be	be
.	.	.
""""	""""	""""
Sydney	Sydney	_UNK
turned	turned	turned
his	his	his
eyes	eyes	eyes
again	again	again
upon	upon	upon
the	the	the
fire	fire	fire
,	,	,
and	and	and
,	,	,
after	after	after
a	a	the
silence	silence	silence
of	of	of
a	a	a
few	few	few
moments	moments	moments
,	,	,
said	said	said
:	:	:
""""	""""	""""
I	I	I
should	should	should
like	like	like
to	to	to
ask	ask	ask
you	you	you
:	:	:
--Does	--Does	_UNK
your	your	your
childhood	childhood	childhood
seem	seem	seem
far	far	far
off	off	off
?	?	?
Do	Do	Do
the	a	the
days	days	days
when	when	when
you	you	you
sat	sat	sat
at	at	at
your	your	your
mother	mother	mother
'	'	'
s	s	s
knee	knee	knee
,	,	,
seem	seem	seem
days	days	days
of	of	of
very	very	very
long	long	long
ago	ago	ago
?	?	?
""""	""""	""""
Responding	Responding	_UNK
to	to	to
his	his	his
softened	softened	softened
manner	manner	manner
,	,	,
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
answered	answered	answered
:	:	:
""""	""""	""""
Twenty	Twenty	Twenty
years	years	years
back	back	back
,	,	,
yes	yes	yes
;	;	;
at	at	at
this	this	this
time	time	time
of	of	of
my	my	my
life	life	life
,	,	,
no	no	no
.	.	.
For	For	For
,	,	,
as	as	as
I	I	I
draw	draw	draw
closer	closer	closer
and	and	and
closer	closer	closer
to	to	to
the	the	the
end	end	end
,	,	,
I	I	I
travel	travel	travel
in	in	in
the	the	the
circle	circle	circle
,	,	,
nearer	nearer	nearer
and	and	and
nearer	nearer	nearer
to	to	to
the	a	the
beginning	beginning	beginning
.	.	.
It	It	It
seems	seems	seems
to	to	to
be	be	be
one	one	one
of	of	of
the	a	a
kind	kind	kind
smoothings	smoothings	_UNK
and	and	and
preparings	preparings	_UNK
of	of	of
the	a	the
way	way	way
.	.	.
My	My	My
heart	heart	heart
is	is	is
touched	touched	touched
now	now	now
,	,	,
by	by	by
many	many	many
remembrances	remembrances	remembrances
that	that	that
had	had	had
long	long	long
fallen	fallen	fallen
asleep	asleep	asleep
,	,	,
of	of	of
my	my	my
pretty	pretty	pretty
young	young	young
mother	mother	mother
(	(	(
and	and	and
I	I	I
so	so	so
old	old	old
!	!	!
)	)	)
,	,	,
and	and	and
by	by	by
many	many	many
associations	associations	liberality
of	of	of
the	the	the
days	days	days
when	when	when
what	what	what
we	we	we
call	call	call
the	the	the
World	World	airs
was	was	was
not	not	not
so	so	so
real	real	real
with	with	with
me	me	me
,	,	,
and	and	and
my	my	my
faults	faults	faults
were	were	were
not	not	not
confirmed	confirmed	confirmed
in	in	in
me	me	me
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
understand	understand	understand
the	the	a
feeling	feeling	feeling
!	!	!
""""	""""	""""
exclaimed	exclaimed	exclaimed
Carton	Carton	_UNK
,	,	,
with	with	with
a	a	a
bright	bright	bright
flush	flush	flush
.	.	.
""""	""""	""""
And	And	And
you	you	you
are	are	are
the	the	a
better	better	better
for	for	for
it	it	it
?	?	?
""""	""""	""""
""""	""""	""""
I	I	I
hope	hope	hope
so	so	so
.	.	.
""""	""""	""""
Carton	Carton	_UNK
terminated	terminated	terminated
the	the	the
conversation	conversation	conversation
here	here	here
,	,	,
by	by	by
rising	rising	rising
to	to	to
help	help	help
him	him	him
on	on	on
with	with	with
his	his	his
outer	outer	outer
coat	coat	coat
;	;	;
""""	""""	""""
But	But	But
you	you	you
,	,	,
""""	""""	""""
said	said	said
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
,	,	,
reverting	reverting	_UNK
to	to	to
the	a	a
theme	theme	theme
,	,	,
""""	""""	""""
you	you	you
are	are	are
young	young	young
.	.	.
""""	""""	""""
""""	""""	""""
Yes	Yes	Yes
,	,	,
""""	""""	""""
said	said	said
Carton	Carton	_UNK
.	.	.
""""	""""	""""
I	I	I
am	am	am
not	not	not
old	old	old
,	,	,
but	but	but
my	my	my
young	young	young
way	way	way
was	was	was
never	never	never
the	a	the
way	way	way
to	to	to
age	age	age
.	.	.
Enough	Enough	_UNK
of	of	of
me	me	me
.	.	.
""""	""""	""""
""""	""""	""""
And	And	And
of	of	of
me	me	me
,	,	,
I	I	I
am	am	am
sure	sure	sure
,	,	,
""""	""""	""""
said	said	said
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
.	.	.
""""	""""	""""
Are	Are	Are
you	you	you
going	going	going
out	out	out
?	?	?
""""	""""	""""
""""	""""	""""
I	I	I
'	'	'
ll	ll	ll
walk	walk	walk
with	with	with
you	you	you
to	to	to
her	her	her
gate	gate	gate
.	.	.
You	You	You
know	know	know
my	my	my
vagabond	vagabond	vagabond
and	and	and
restless	restless	,
habits	habits	habits
.	.	.
If	If	If
I	I	I
should	should	should
prowl	prowl	_UNK
about	about	about
the	a	the
streets	streets	streets
a	the	a
long	long	long
time	time	time
,	,	,
don	don	don
'	'	'
t	t	t
be	be	be
uneasy	uneasy	uneasy
;	;	;
I	I	I
shall	shall	shall
reappear	reappear	_UNK
in	in	in
the	the	the
morning	morning	morning
.	.	.
You	You	You
go	go	go
to	to	to
the	the	the
Court	Court	_UNK
to-morrow	to-morrow	to-morrow
?	?	?
""""	""""	""""
""""	""""	""""
Yes	Yes	Yes
,	,	,
unhappily	unhappily	_UNK
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
shall	shall	shall
be	be	be
there	there	there
,	,	,
but	but	but
only	only	only
as	as	as
one	one	one
of	of	of
the	the	the
crowd	crowd	crowd
.	.	.
My	My	My
Spy	Spy	_UNK
will	will	will
find	find	find
a	the	a
place	place	place
for	for	for
me	me	me
.	.	.
Take	Take	Take
my	my	my
arm	arm	arm
,	,	,
sir	sir	sir
.	.	.
""""	""""	""""
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
did	did	did
so	so	so
,	,	,
and	and	and
they	they	they
went	went	went
down-stairs	down-stairs	_UNK
and	and	and
out	out	out
in	in	in
the	the	the
streets	streets	streets
.	.	.
A	A	A
few	few	few
minutes	minutes	minutes
brought	brought	brought
them	them	them
to	to	to
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
'	'	'
s	s	s
destination	destination	destination
.	.	.
Carton	Carton	_UNK
left	left	left
him	him	him
there	there	there
;	;	;
but	but	but
lingered	lingered	lingered
at	at	at
a	a	a
little	little	little
distance	distance	distance
,	,	,
and	and	and
turned	turned	turned
back	back	back
to	to	to
the	the	the
gate	gate	gate
again	again	again
when	when	when
it	it	it
was	was	was
shut	shut	shut
,	,	,
and	and	and
touched	touched	touched
it	it	it
.	.	.
He	He	He
had	had	had
heard	heard	heard
of	of	of
her	her	her
going	going	going
to	to	to
the	the	a
prison	prison	prison
every	every	every
day	day	day
.	.	.
""""	""""	""""
She	She	She
came	came	came
out	out	out
here	here	here
,	,	,
""""	""""	""""
he	he	he
said	said	said
,	,	,
looking	looking	looking
about	about	about
him	him	him
,	,	,
""""	""""	""""
turned	turned	turned
this	this	this
way	way	way
,	,	,
must	must	must
have	have	have
trod	trod	trod
on	on	on
these	these	these
stones	stones	'
often	often	often
.	.	.
Let	Let	Let
me	me	me
follow	follow	follow
in	in	in
her	her	her
steps	steps	steps
.	.	.
""""	""""	""""
It	It	It
was	was	was
ten	ten	ten
o	o	o
'	'	'
clock	clock	clock
at	at	at
night	night	night
when	when	when
he	he	he
stood	stood	stood
before	before	before
the	a	a
prison	prison	prison
of	of	of
La	La	_UNK
Force	Force	_UNK
,	,	,
where	where	where
she	she	she
had	had	had
stood	stood	stood
hundreds	hundreds	hundreds
of	of	of
times	times	times
.	.	.
A	The	The
little	little	little
wood-sawyer	wood-sawyer	_UNK
,	,	,
having	having	having
closed	closed	closed
his	his	his
shop	shop	shop
,	,	,
was	was	was
smoking	smoking	smoking
his	his	his
pipe	pipe	pipe
at	at	at
his	his	his
shop-door	shop-door	shop-door
.	.	.
""""	""""	""""
Good	Good	Good
night	night	night
,	,	,
citizen	citizen	_UNK
,	,	,
""""	""""	""""
said	said	said
Sydney	Sydney	_UNK
Carton	Carton	_UNK
,	,	,
pausing	pausing	pausing
in	in	in
going	going	going
by	by	by
;	;	;
for	for	for
,	,	,
the	the	a
man	man	man
eyed	eyed	eyed
him	him	him
inquisitively	inquisitively	_UNK
.	.	.
""""	""""	""""
Good	Good	Good
night	night	night
,	,	,
citizen	citizen	_UNK
.	.	.
""""	""""	""""
""""	""""	""""
How	How	How
goes	goes	goes
the	the	the
Republic	Republic	_UNK
?	?	?
""""	""""	""""
""""	""""	""""
You	You	You
mean	mean	mean
the	the	the
Guillotine	Guillotine	_UNK
.	.	.
Not	Not	Not
ill	ill	ill
.	.	.
Sixty-three	Sixty-three	_UNK
to-day	to-day	to-day
.	.	.
We	We	We
shall	shall	shall
mount	mount	_UNK
to	to	to
a	a	a
hundred	hundred	hundred
soon	soon	soon
.	.	.
Samson	Samson	_UNK
and	and	and
his	his	his
men	men	men
complain	complain	.
sometimes	sometimes	sometimes
,	,	,
of	of	of
being	being	being
exhausted	exhausted	exhausted
.	.	.
Ha	Ha	Ha
,	,	,
ha	ha	ha
,	,	,
ha	ha	ha
!	!	!
He	He	He
is	is	is
so	so	so
droll	droll	droll
,	,	,
that	that	that
Samson	Samson	_UNK
.	.	.
Such	Such	Such
a	a	a
Barber	Barber	_UNK
!	!	!
""""	""""	""""
""""	""""	""""
Do	Do	Do
you	you	you
often	often	often
go	go	go
to	to	to
see	see	see
him--	him--	him--
""""	""""	""""
""""	""""	""""
Shave	Shave	_UNK
?	?	?
Always	Always	gloomy
.	.	.
Every	Every	Every
day	day	day
.	.	.
What	What	What
a	the	a
barber	barber	treaty
!	!	!
You	You	You
have	have	have
seen	seen	seen
him	him	him
at	at	at
work	work	work
?	?	?
""""	""""	""""
""""	""""	""""
Never	Never	Never
.	.	.
""""	""""	""""
""""	""""	""""
Go	Go	Go
and	and	and
see	see	see
him	him	him
when	when	when
he	he	he
has	has	has
a	the	a
good	good	good
batch	batch	_UNK
.	.	.
Figure	Figure	_UNK
this	this	this
to	to	to
yourself	yourself	yourself
,	,	,
citizen	citizen	_UNK
;	;	;
he	he	he
shaved	shaved	shaved
the	a	the
sixty-three	sixty-three	_UNK
to-day	to-day	to-day
,	,	,
in	in	in
less	less	less
than	than	than
two	two	two
pipes	pipes	pipes
!	!	!
Less	Less	_UNK
than	than	than
two	two	two
pipes	pipes	pipes
.	.	.
Word	Word	_UNK
of	of	of
honour	honour	honour
!	!	!
""""	""""	""""
As	As	As
the	the	the
grinning	grinning	grinning
little	little	little
man	man	man
held	held	held
out	out	out
the	a	a
pipe	pipe	pipe
he	he	he
was	was	was
smoking	smoking	smoking
,	,	,
to	to	to
explain	explain	explain
how	how	how
he	he	he
timed	timed	_UNK
the	the	the
executioner	executioner	_UNK
,	,	,
Carton	Carton	_UNK
was	was	was
so	so	so
sensible	sensible	_UNK
of	of	of
a	a	the
rising	rising	rising
desire	desire	desire
to	to	to
strike	strike	strike
the	the	the
life	life	life
out	out	out
of	of	of
him	him	him
,	,	,
that	that	that
he	he	he
turned	turned	turned
away	away	away
.	.	.
""""	""""	""""
But	But	But
you	you	you
are	are	are
not	not	not
English	English	English
,	,	,
""""	""""	""""
said	said	said
the	the	the
wood-sawyer	wood-sawyer	_UNK
,	,	,
""""	""""	""""
though	though	though
you	you	you
wear	wear	wear
English	English	English
dress	dress	dress
?	?	?
""""	""""	""""
""""	""""	""""
Yes	Yes	Yes
,	,	,
""""	""""	""""
said	said	said
Carton	Carton	_UNK
,	,	,
pausing	pausing	pausing
again	again	again
,	,	,
and	and	and
answering	answering	answering
over	over	over
his	his	his
shoulder	shoulder	shoulder
.	.	.
""""	""""	""""
You	You	You
speak	speak	speak
like	like	like
a	a	a
Frenchman	Frenchman	_UNK
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
am	am	am
an	an	an
old	old	old
student	student	_UNK
here	here	here
.	.	.
""""	""""	""""
""""	""""	""""
Aha	Aha	Aha
,	,	,
a	the	a
perfect	perfect	perfect
Frenchman	Frenchman	_UNK
!	!	!
Good	Good	Good
night	night	night
,	,	,
Englishman	Englishman	Englishman
.	.	.
""""	""""	""""
""""	""""	""""
Good	Good	Good
night	night	night
,	,	,
citizen	citizen	_UNK
.	.	.
""""	""""	""""
""""	""""	""""
But	But	But
go	go	go
and	and	and
see	see	see
that	that	that
droll	droll	droll
dog	dog	dog
,	,	,
""""	""""	""""
the	the	a
little	little	little
man	man	man
persisted	persisted	'
,	,	,
calling	calling	calling
after	after	after
him	him	him
.	.	.
""""	""""	""""
And	And	And
take	take	take
a	a	the
pipe	pipe	pipe
with	with	with
you	you	you
!	!	!
""""	""""	""""
Sydney	Sydney	_UNK
had	had	had
not	not	not
gone	gone	gone
far	far	far
out	out	out
of	of	of
sight	sight	sight
,	,	,
when	when	when
he	he	he
stopped	stopped	stopped
in	in	in
the	the	the
middle	middle	middle
of	of	of
the	the	the
street	street	street
under	under	under
a	the	a
glimmering	glimmering	glimmering
lamp	lamp	lamp
,	,	,
and	and	and
wrote	wrote	wrote
with	with	with
his	his	his
pencil	pencil	_UNK
on	on	on
a	the	the
scrap	scrap	scrap
of	of	of
paper	paper	paper
.	.	.
Then	Then	Then
,	,	,
traversing	traversing	_UNK
with	with	with
the	the	a
decided	decided	decided
step	step	step
of	of	of
one	one	one
who	who	who
remembered	remembered	remembered
the	the	the
way	way	way
well	well	well
,	,	,
several	several	several
dark	dark	dark
and	and	and
dirty	dirty	dirty
streets--much	streets--much	_UNK
dirtier	dirtier	dirtier
than	than	than
usual	usual	usual
,	,	,
for	for	for
the	the	the
best	best	best
public	public	public
thoroughfares	thoroughfares	_UNK
remained	remained	remained
uncleansed	uncleansed	_UNK
in	in	in
those	those	those
times	times	times
of	of	of
terror--he	terror--he	_UNK
stopped	stopped	stopped
at	at	at
a	the	the
chemist	chemist	_UNK
'	'	'
s	s	s
shop	shop	shop
,	,	,
which	which	which
the	the	the
owner	owner	owner
was	was	was
closing	closing	closing
with	with	with
his	his	his
own	own	own
hands	hands	hands
.	.	.
A	The	The
small	small	small
,	,	,
dim	dim	dim
,	,	,
crooked	crooked	_UNK
shop	shop	shop
,	,	,
kept	kept	kept
in	in	in
a	the	the
tortuous	tortuous	_UNK
,	,	,
up-hill	up-hill	_UNK
thoroughfare	thoroughfare	thoroughfare
,	,	,
by	by	by
a	a	a
small	small	small
,	,	,
dim	dim	dim
,	,	,
crooked	crooked	_UNK
man	man	man
.	.	.
Giving	Giving	_UNK
this	this	this
citizen	citizen	_UNK
,	,	,
too	too	too
,	,	,
good	good	good
night	night	night
,	,	,
as	as	as
he	he	he
confronted	confronted	confronted
him	him	him
at	at	at
his	his	his
counter	counter	counter
,	,	,
he	he	he
laid	laid	laid
the	the	the
scrap	scrap	scrap
of	of	of
paper	paper	paper
before	before	before
him	him	him
.	.	.
""""	""""	""""
Whew	Whew	I--
!	!	!
""""	""""	""""
the	the	a
chemist	chemist	_UNK
whistled	whistled	whistled
softly	softly	softly
,	,	,
as	as	as
he	he	he
read	read	read
it	it	it
.	.	.
""""	""""	""""
Hi	Hi	_UNK
!	!	!
hi	hi	Death
!	!	!
hi	hi	sitiwation
!	!	!
""""	""""	""""
Sydney	Sydney	_UNK
Carton	Carton	_UNK
took	took	took
no	no	no
heed	heed	heed
,	,	,
and	and	and
the	the	the
chemist	chemist	_UNK
said	said	said
:	:	:
""""	""""	""""
For	For	For
you	you	you
,	,	,
citizen	citizen	_UNK
?	?	?
""""	""""	""""
""""	""""	""""
For	For	For
me	me	me
.	.	.
""""	""""	""""
""""	""""	""""
You	You	You
will	will	will
be	be	be
careful	careful	careful
to	to	to
keep	keep	keep
them	them	them
separate	separate	separate
,	,	,
citizen	citizen	_UNK
?	?	?
You	You	You
know	know	know
the	a	the
consequences	consequences	consequences
of	of	of
mixing	mixing	mixing
them	them	them
?	?	?
""""	""""	""""
""""	""""	""""
Perfectly	Perfectly	_UNK
.	.	.
""""	""""	""""
Certain	Certain	Maylie--bless
small	small	small
packets	packets	_UNK
were	were	were
made	made	made
and	and	and
given	given	given
to	to	to
him	him	him
.	.	.
He	He	He
put	put	put
them	them	them
,	,	,
one	one	one
by	by	by
one	one	one
,	,	,
in	in	in
the	the	a
breast	breast	breast
of	of	of
his	his	his
inner	inner	,
coat	coat	coat
,	,	,
counted	counted	counted
out	out	out
the	the	the
money	money	money
for	for	for
them	them	them
,	,	,
and	and	and
deliberately	deliberately	deliberately
left	left	left
the	a	the
shop	shop	shop
.	.	.
""""	""""	""""
There	There	There
is	is	is
nothing	nothing	nothing
more	more	more
to	to	to
do	do	do
,	,	,
""""	""""	""""
said	said	said
he	he	he
,	,	,
glancing	glancing	glancing
upward	upward	upward
at	at	at
the	a	the
moon	moon	moon
,	,	,
""""	""""	""""
until	until	until
to-morrow	to-morrow	to-morrow
.	.	.
I	I	I
can	can	can
'	'	'
t	t	t
sleep	sleep	sleep
.	.	.
""""	""""	""""
It	It	It
was	was	was
not	not	not
a	a	the
reckless	reckless	reckless
manner	manner	manner
,	,	,
the	the	the
manner	manner	manner
in	in	in
which	which	which
he	he	he
said	said	said
these	these	these
words	words	words
aloud	aloud	aloud
under	under	under
the	the	the
fast-sailing	fast-sailing	_UNK
clouds	clouds	clouds
,	,	,
nor	nor	nor
was	was	was
it	it	it
more	more	more
expressive	expressive	expressive
of	of	of
negligence	negligence	_UNK
than	than	than
defiance	defiance	defiance
.	.	.
It	It	It
was	was	was
the	a	a
settled	settled	settled
manner	manner	manner
of	of	of
a	a	the
tired	tired	tired
man	man	man
,	,	,
who	who	who
had	had	had
wandered	wandered	wandered
and	and	and
struggled	struggled	struggled
and	and	and
got	got	got
lost	lost	lost
,	,	,
but	but	but
who	who	who
at	at	at
length	length	length
struck	struck	struck
into	into	into
his	his	his
road	road	road
and	and	and
saw	saw	saw
its	its	its
end	end	end
.	.	.
Long	Long	cabin-boy
ago	ago	ago
,	,	,
when	when	when
he	he	he
had	had	had
been	been	been
famous	famous	less--less
among	among	among
his	his	his
earliest	earliest	_UNK
competitors	competitors	_UNK
as	as	as
a	a	a
youth	youth	youth
of	of	of
great	great	great
promise	promise	promise
,	,	,
he	he	he
had	had	had
followed	followed	followed
